Model Outputs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;grzegorz_witczak:LAbsAnkleAngle;;;grzegorz_witczak:LAnkleAngles;;;grzegorz_witczak:LElbowAngles;;;grzegorz_witczak:LFootProgressAngles;;;grzegorz_witczak:LHeadAngles;;;grzegorz_witczak:LHipAngles;;;grzegorz_witczak:LKneeAngles;;;grzegorz_witczak:LNeckAngles;;;grzegorz_witczak:LPelvisAngles;;;grzegorz_witczak:LShoulderAngles;;;grzegorz_witczak:LSpineAngles;;;grzegorz_witczak:LThoraxAngles;;;grzegorz_witczak:LWristAngles;;;grzegorz_witczak:RAbsAnkleAngle;;;grzegorz_witczak:RAnkleAngles;;;grzegorz_witczak:RElbowAngles;;;grzegorz_witczak:RFootProgressAngles;;;grzegorz_witczak:RHeadAngles;;;grzegorz_witczak:RHipAngles;;;grzegorz_witczak:RKneeAngles;;;grzegorz_witczak:RNeckAngles;;;grzegorz_witczak:RPelvisAngles;;;grzegorz_witczak:RShoulderAngles;;;grzegorz_witczak:RSpineAngles;;;grzegorz_witczak:RThoraxAngles;;;grzegorz_witczak:RWristAngles;;;grzegorz_witczak:CentreOfMass;;;grzegorz_witczak:CentreOfMassFloor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Frame;Sub Frame;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;mm;mm;mm;mm;mm;mm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1244;0;-2.63178;0;0;-2.90708;-7.04031;25.1268;35.9787;3.97569e-016;7.02346e-012;-78.5581;22.6039;-58.2957;17.7049;28.0706;-59.4051;8.61651;2.61546;-8.41398;5.30817;4.42452;-26.2354;-27.5903;2.86385;15.7468;6.34202;-3.24254;-49.6105;-10.7721;13.6963;43.5027;-11.371;0.239045;-1.80972;-1.47374;5.02731;-47.7023;10.2644;35.6756;110.108;9.16555;0;0;9.63144;2.38527;-17.8143;35.7216;-1.59028e-015;1.42807e-012;-84.6964;0.835952;27.1862;17.7049;-28.0706;59.4051;-1.23096;-2.18748;16.674;1.79721;8.05349;-20.5996;-27.5903;-2.86385;-15.7468;6.34202;3.24254;49.6105;-14.1642;15.8706;30.6219;-11.371;-0.239045;1.80972;-1.47374;-5.02731;47.7023;-12.2265;31.7464;81.7277;-1050.38;-450.293;1000.02;-1050.38;-450.293;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1245;0;-2.65831;0;0;-2.9359;-7.03475;25.1064;35.9542;-1.19271e-015;-4.83762e-012;-78.5582;22.628;-58.3016;17.7763;28.0831;-59.309;8.60692;2.5873;-8.38419;5.28453;4.45074;-26.2449;-27.6405;2.88192;15.6622;6.31599;-3.24548;-49.6176;-10.8358;13.6679;43.5196;-11.3512;0.215691;-1.80794;-1.46807;5.02633;-47.7096;10.2345;35.6559;110.078;9.15462;0;0;9.62151;2.39043;-17.8437;35.7231;0;-1.11001e-012;-84.7028;0.829916;27.1937;17.7763;-28.0831;59.309;-1.2275;-2.15804;16.6525;1.81027;8.0354;-20.548;-27.6405;-2.88192;-15.6622;6.31599;3.24548;49.6176;-14.1718;15.8567;30.644;-11.3512;-0.215691;1.80794;-1.46807;-5.02633;47.7096;-12.2291;31.7429;81.7293;-1050.63;-450.445;1000.02;-1050.63;-450.445;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1246;0;-2.68356;0;0;-2.96341;-7.03027;25.09;35.9301;0;-3.35549e-013;-78.5566;22.6531;-58.3067;17.8513;28.0938;-59.2083;8.59942;2.55969;-8.35642;5.26506;4.47477;-26.2548;-27.6906;2.90211;15.5757;6.29005;-3.24888;-49.6257;-10.8982;13.6427;43.5371;-11.3321;0.191048;-1.8093;-1.46216;5.026;-47.7146;10.2074;35.6343;110.05;9.14794;0;0;9.61547;2.39353;-17.8613;35.7268;-3.18055e-015;9.39854e-013;-84.7089;0.823386;27.2004;17.8513;-28.0938;59.2083;-1.21941;-2.12853;16.633;1.83159;8.02039;-20.5112;-27.6906;-2.90211;-15.5757;6.29005;3.24888;49.6257;-14.1762;15.8435;30.6632;-11.3321;-0.191048;1.8093;-1.46216;-5.026;47.7146;-12.2304;31.7404;81.7306;-1050.87;-450.581;1000.02;-1050.87;-450.581;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1247;0;-2.70794;0;0;-2.99;-7.02673;25.0771;35.9066;5.96354e-016;7.64367e-012;-78.5533;22.6794;-58.3107;17.9302;28.1026;-59.1016;8.59386;2.53282;-8.32873;5.24907;4.49674;-26.2659;-27.7406;2.92418;15.4857;6.26442;-3.25281;-49.6349;-10.959;13.6208;43.5547;-11.314;0.165453;-1.81366;-1.45623;5.02632;-47.7177;10.1832;35.6112;110.025;9.14487;0;0;9.61251;2.39444;-17.8665;35.7325;0;-1.68569e-013;-84.7147;0.816793;27.2064;17.9302;-28.1026;59.1016;-1.20742;-2.09971;16.6164;1.85891;8.0089;-20.4913;-27.7406;-2.92418;-15.4857;6.26442;3.25281;49.6349;-14.1779;15.8309;30.6792;-11.314;-0.165453;1.81366;-1.45623;-5.02632;47.7177;-12.2306;31.7389;81.7312;-1051.11;-450.702;1000.02;-1051.11;-450.702;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1248;0;-2.73168;0;0;-3.01598;-7.02396;25.0669;35.8838;9.93923e-016;-5.79656e-013;-78.548;22.7066;-58.3132;18.0137;28.1089;-58.9875;8.58995;2.50685;-8.2997;5.23586;4.51678;-26.2786;-27.7904;2.94783;15.3905;6.23926;-3.2573;-49.6454;-11.018;13.6021;43.5719;-11.2974;0.139192;-1.82081;-1.4505;5.02733;-47.7191;10.162;35.5873;110.002;9.14455;0;0;9.61185;2.39321;-17.8595;35.7402;0;1.84154e-012;-84.7202;0.810507;27.2115;18.0137;-28.1089;58.9875;-1.19252;-2.07214;16.6035;1.88995;8.00108;-20.4889;-27.7904;-2.94783;-15.3905;6.23926;3.2573;49.6454;-14.1772;15.8188;30.6922;-11.2974;-0.139192;1.82081;-1.4505;-5.02733;47.7191;-12.2298;31.7386;81.7311;-1051.33;-450.809;1000.02;-1051.33;-450.809;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1249;0;-2.7549;0;0;-3.04141;-7.0217;25.0587;35.8618;-2.18663e-015;-6.52809e-013;-78.541;22.7346;-58.3143;18.1021;28.1124;-58.8643;8.58735;2.48203;-8.26809;5.22463;4.53504;-26.2934;-27.8398;2.97283;15.2883;6.21482;-3.26236;-49.657;-11.0749;13.5867;43.5881;-11.2825;0.112645;-1.83042;-1.44521;5.02909;-47.7191;10.1438;35.5633;109.983;9.14629;0;0;9.6127;2.39015;-17.8421;35.7496;0;-3.65128e-012;-84.7254;0.804759;27.2158;18.1021;-28.1124;58.8643;-1.17578;-2.04639;16.5951;1.9223;7.99683;-20.5033;-27.8398;-2.97283;-15.2883;6.21482;3.26236;49.657;-14.1746;15.8072;30.7023;-11.2825;-0.112645;1.83042;-1.44521;-5.02909;47.7191;-12.2282;31.7392;81.7304;-1051.54;-450.902;1000.02;-1051.54;-450.902;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1250;0;-2.77757;0;0;-3.06624;-7.01966;25.0512;35.8405;3.97569e-016;4.96564e-012;-78.5325;22.7628;-58.3143;18.1962;28.1126;-58.7305;8.58552;2.45866;-8.23324;5.21456;4.55172;-26.3103;-27.8887;2.99886;15.1772;6.19129;-3.26786;-49.6697;-11.1296;13.5745;43.6026;-11.2696;0.0863247;-1.84199;-1.44062;5.03159;-47.7182;10.1285;35.5402;109.967;9.14925;0;0;9.61442;2.38572;-17.8168;35.7604;0;4.73585e-012;-84.7303;0.799684;27.2196;18.1962;-28.1126;58.7305;-1.1585;-2.02295;16.5918;1.95373;7.99581;-20.5322;-27.8887;-2.99886;-15.1772;6.19129;3.26786;49.6697;-14.1704;15.7959;30.7097;-11.2696;-0.0863247;1.84199;-1.44062;-5.03159;47.7182;-12.2262;31.7407;81.7288;-1051.74;-450.983;1000.02;-1051.74;-450.983;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1251;0;-2.79945;0;0;-3.09022;-7.01762;25.0437;35.82;1.98785e-016;8.74653e-014;-78.5228;22.7908;-58.3137;18.2966;28.109;-58.5841;8.58399;2.43709;-8.19545;5.2051;4.56693;-26.3288;-27.9369;3.02565;15.0551;6.16891;-3.27362;-49.6831;-11.1819;13.5655;43.6146;-11.2589;0.0607176;-1.855;-1.43697;5.0349;-47.7167;10.1158;35.5185;109.954;9.15272;0;0;9.61645;2.38055;-17.7874;35.7723;0;-2.54444e-012;-84.7351;0.795294;27.223;18.2966;-28.109;58.5841;-1.14198;-2.00225;16.5943;1.98217;7.99745;-20.5722;-27.9369;-3.02565;-15.0551;6.16891;3.27362;49.6831;-14.1651;15.785;30.7146;-11.2589;-0.0607176;1.855;-1.43697;-5.0349;47.7167;-12.2237;31.743;81.7265;-1051.94;-451.05;1000.02;-1051.94;-451.05;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
